1,"canAbuseElevationCtl(attacker,victimHost,'/usr/bin/sudo')","OR",0
2,"RULE 0 (Asset - Able to run file and directory discovery process on host)","AND",0
3,"abuseElevationControlMechanism(attacker,victimHost,'/usr/bin/sudo')","OR",0
4,"RULE 2 (T1548 - Abuse Elevation Control Mechanism)","AND",0
5,"abuseElevationControlMechanismSetuid(attacker,victimHost,'/usr/bin/sudo')","OR",0
6,"RULE 3 (T1548.001 - Abuse Elevation Control Mechanism - Setuid)","AND",0
7,"execCode(attacker,victimHost,_)","OR",0
8,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
9,"canAccessFile(victimHost,_,exec,'/bin/cat')","OR",0
10,"RULE 55 (BB - A legitimate account can access file)","AND",0
11,"localFileProtection(victimHost,_,exec,'/bin/cat')","OR",0
12,"RULE 58 (BB - world file access)","AND",0
13,"worldAccessible(victimHost,exec,'/bin/cat')","OR",0
14,"RULE 67 (BB - world file access)","AND",0
15,"fileAttr(victimHost,'/bin/cat',-,r,w,x,-,-,-,r,w,x)","LEAF",1
16,"accessDataFlow(attacker,write,reversePupy)","OR",0
17,"RULE 40 (BB - The remote root user has write access to the dataFlow)","AND",0
18,"dataFlowReverseShell(reversePupy)","OR",0
19,"RULE 41 (BB - Reverse shell data flow)","AND",0
20,"isReverseShell(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc')","LEAF",1
21,"flowBind(reversePupy,http,1234)","OR",0
22,"RULE 44 (BB - Flow associated port and protocol)","AND",0
23,"canScriptAccessHost(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","OR",0
24,"RULE 46 (BB - Script access an exposed service)","AND",0
25,"networkServiceInfo(pupyC2Server,root,pupyd,http,1234)","LEAF",1
26,"accessFile(victimUser,victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
27,"RULE 53 (BB - execCode implies file access)","AND",0
28,"canAccessFile(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
29,"RULE 55 (BB - A legitimate account can access file)","AND",0
30,"localFileProtection(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
31,"RULE 56 (BB - owner file access)","AND",0
32,"ownerAccessible(victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
33,"RULE 65 (BB - owner file access)","AND",0
34,"fileAttr(victimHost,'/home/victimAccount/3aka3.doc',-,r,w,x,-,-,-,-,-,-)","LEAF",1
35,"fileOwner(victimHost,victimAccount,'/home/victimAccount/3aka3.doc')","LEAF",1
36,"execCode(victimUser,victimHost,victimAccount)","OR",0
37,"RULE 54 (BB - A User can execute code using his account on a specific host)","AND",0
38,"hasAccount(victimUser,victimHost,victimAccount)","LEAF",1
39,"scriptNetAccess(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","OR",0
40,"RULE 47 (BB - Direct script network access)","AND",0
41,"isNetScript(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","LEAF",1
42,"aclNW(victimHost,pupyC2Server,http,1234)","LEAF",1
43,"dataFlow(victimHost,pupyC2Server,reversePupy,_)","OR",0
44,"RULE 45 (BB - Data flow initiated by script)","AND",0
45,"localAccess(attacker,pupyC2Server,root)","OR",0
46,"RULE 73 (BB - An user who is located in a host has root access to that host)","AND",0
47,"located(attacker,pupyC2Server)","LEAF",1
48,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
49,"canAccessFile(victimHost,_,exec,'/bin/find')","OR",0
50,"RULE 55 (BB - A legitimate account can access file)","AND",0
51,"localFileProtection(victimHost,_,exec,'/bin/find')","OR",0
52,"RULE 58 (BB - world file access)","AND",0
53,"worldAccessible(victimHost,exec,'/bin/find')","OR",0
54,"RULE 67 (BB - world file access)","AND",0
55,"fileAttr(victimHost,'/bin/find',-,r,w,x,-,-,-,r,w,x)","LEAF",1
56,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
57,"canAccessFile(victimHost,_,exec,'/bin/ls')","OR",0
58,"RULE 55 (BB - A legitimate account can access file)","AND",0
59,"localFileProtection(victimHost,_,exec,'/bin/ls')","OR",0
60,"RULE 58 (BB - world file access)","AND",0
61,"worldAccessible(victimHost,exec,'/bin/ls')","OR",0
62,"RULE 67 (BB - world file access)","AND",0
63,"fileAttr(victimHost,'/bin/ls',-,r,w,x,-,-,-,r,w,x)","LEAF",1
64,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
65,"canAccessFile(victimHost,_,exec,'/bin/tcpdump')","OR",0
66,"RULE 55 (BB - A legitimate account can access file)","AND",0
67,"localFileProtection(victimHost,_,exec,'/bin/tcpdump')","OR",0
68,"RULE 58 (BB - world file access)","AND",0
69,"worldAccessible(victimHost,exec,'/bin/tcpdump')","OR",0
70,"RULE 67 (BB - world file access)","AND",0
71,"fileAttr(victimHost,'/bin/tcpdump',-,r,w,x,-,-,-,r,w,x)","LEAF",1
72,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
73,"canAccessFile(victimHost,_,exec,'/bin/zip')","OR",0
74,"RULE 55 (BB - A legitimate account can access file)","AND",0
75,"localFileProtection(victimHost,_,exec,'/bin/zip')","OR",0
76,"RULE 58 (BB - world file access)","AND",0
77,"worldAccessible(victimHost,exec,'/bin/zip')","OR",0
78,"RULE 67 (BB - world file access)","AND",0
79,"fileAttr(victimHost,'/bin/zip',-,r,w,x,-,-,-,r,w,x)","LEAF",1
80,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
81,"canAccessFile(victimHost,_,exec,'/private')","OR",0
82,"RULE 55 (BB - A legitimate account can access file)","AND",0
83,"localFileProtection(victimHost,_,exec,'/private')","OR",0
84,"RULE 58 (BB - world file access)","AND",0
85,"worldAccessible(victimHost,exec,'/private')","OR",0
86,"RULE 67 (BB - world file access)","AND",0
87,"fileAttr(victimHost,'/private',d,r,w,x,r,-,x,r,-,x)","LEAF",1
88,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
89,"canAccessFile(victimHost,_,exec,'/private/secret1.doc')","OR",0
90,"RULE 55 (BB - A legitimate account can access file)","AND",0
91,"localFileProtection(victimHost,_,exec,'/private/secret1.doc')","OR",0
92,"RULE 58 (BB - world file access)","AND",0
93,"worldAccessible(victimHost,exec,'/private/secret1.doc')","OR",0
94,"RULE 67 (BB - world file access)","AND",0
95,"fileAttr(victimHost,'/private/secret1.doc',-,-,-,-,-,-,-,r,w,x)","LEAF",1
96,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
97,"canAccessFile(victimHost,_,exec,'/private/secret2.doc')","OR",0
98,"RULE 55 (BB - A legitimate account can access file)","AND",0
99,"localFileProtection(victimHost,_,exec,'/private/secret2.doc')","OR",0
100,"RULE 58 (BB - world file access)","AND",0
101,"worldAccessible(victimHost,exec,'/private/secret2.doc')","OR",0
102,"RULE 67 (BB - world file access)","AND",0
103,"fileAttr(victimHost,'/private/secret2.doc',-,-,-,-,-,-,-,r,w,x)","LEAF",1
104,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
105,"canAccessFile(victimHost,_,exec,'/usr/bin/sudo')","OR",0
106,"RULE 55 (BB - A legitimate account can access file)","AND",0
107,"localFileProtection(victimHost,_,exec,'/usr/bin/sudo')","OR",0
108,"RULE 58 (BB - world file access)","AND",0
109,"worldAccessible(victimHost,exec,'/usr/bin/sudo')","OR",0
110,"RULE 67 (BB - world file access)","AND",0
111,"fileAttr(victimHost,'/usr/bin/sudo',-,r,w,s,r,-,-,r,-,x)","LEAF",1
112,"fileOwner(victimHost,root,'/usr/bin/sudo')","LEAF",1
113,"malicious(attacker)","LEAF",1
114,"RULE 3 (T1548.001 - Abuse Elevation Control Mechanism - Setuid)","AND",0
115,"execCode(attacker,victimHost,root)","OR",0
116,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
117,"canAccessFile(victimHost,root,exec,'/bin/cat')","OR",0
118,"RULE 55 (BB - A legitimate account can access file)","AND",0
119,"localFileProtection(victimHost,root,exec,'/bin/cat')","OR",0
120,"RULE 56 (BB - owner file access)","AND",0
121,"ownerAccessible(victimHost,exec,'/bin/cat')","OR",0
122,"RULE 65 (BB - owner file access)","AND",0
123,"fileOwner(victimHost,root,'/bin/cat')","LEAF",1
124,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
125,"canAccessFile(victimHost,root,exec,'/bin/find')","OR",0
126,"RULE 55 (BB - A legitimate account can access file)","AND",0
127,"localFileProtection(victimHost,root,exec,'/bin/find')","OR",0
128,"RULE 56 (BB - owner file access)","AND",0
129,"ownerAccessible(victimHost,exec,'/bin/find')","OR",0
130,"RULE 65 (BB - owner file access)","AND",0
131,"fileOwner(victimHost,root,'/bin/find')","LEAF",1
132,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
133,"canAccessFile(victimHost,root,exec,'/bin/ls')","OR",0
134,"RULE 55 (BB - A legitimate account can access file)","AND",0
135,"localFileProtection(victimHost,root,exec,'/bin/ls')","OR",0
136,"RULE 56 (BB - owner file access)","AND",0
137,"ownerAccessible(victimHost,exec,'/bin/ls')","OR",0
138,"RULE 65 (BB - owner file access)","AND",0
139,"fileOwner(victimHost,root,'/bin/ls')","LEAF",1
140,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
141,"canAccessFile(victimHost,root,exec,'/bin/tcpdump')","OR",0
142,"RULE 55 (BB - A legitimate account can access file)","AND",0
143,"localFileProtection(victimHost,root,exec,'/bin/tcpdump')","OR",0
144,"RULE 56 (BB - owner file access)","AND",0
145,"ownerAccessible(victimHost,exec,'/bin/tcpdump')","OR",0
146,"RULE 65 (BB - owner file access)","AND",0
147,"fileOwner(victimHost,root,'/bin/tcpdump')","LEAF",1
148,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
149,"canAccessFile(victimHost,root,exec,'/bin/zip')","OR",0
150,"RULE 55 (BB - A legitimate account can access file)","AND",0
151,"localFileProtection(victimHost,root,exec,'/bin/zip')","OR",0
152,"RULE 56 (BB - owner file access)","AND",0
153,"ownerAccessible(victimHost,exec,'/bin/zip')","OR",0
154,"RULE 65 (BB - owner file access)","AND",0
155,"fileOwner(victimHost,root,'/bin/zip')","LEAF",1
156,"RULE 3 (T1548.001 - Abuse Elevation Control Mechanism - Setuid)","AND",0
157,"execCode(attacker,victimHost,victimAccount)","OR",0
158,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
159,"canAccessFile(victimHost,victimAccount,exec,'/bin/bash')","OR",0
160,"RULE 55 (BB - A legitimate account can access file)","AND",0
161,"localFileProtection(victimHost,victimAccount,exec,'/bin/bash')","OR",0
162,"RULE 57 (BB - group file access)","AND",0
163,"groupAccessible(victimHost,exec,'/bin/bash')","LEAF",1
164,"fileGroupOwner(victimHost,'/bin/bash',victimGroup)","LEAF",1
165,"inGroup(victimAccount,victimGroup)","LEAF",1
166,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
167,"canAccessFile(victimHost,victimAccount,exec,'/bin/powershell')","OR",0
168,"RULE 55 (BB - A legitimate account can access file)","AND",0
169,"localFileProtection(victimHost,victimAccount,exec,'/bin/powershell')","OR",0
170,"RULE 56 (BB - owner file access)","AND",0
171,"ownerAccessible(victimHost,exec,'/bin/powershell')","OR",0
172,"RULE 65 (BB - owner file access)","AND",0
173,"fileAttr(victimHost,'/bin/powershell',-,r,w,x,-,-,-,-,-,-)","LEAF",1
174,"fileOwner(victimHost,victimAccount,'/bin/powershell')","LEAF",1
175,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
176,"canAccessFile(victimHost,victimAccount,exec,'/home/victimAccount/.bash_login')","OR",0
177,"RULE 55 (BB - A legitimate account can access file)","AND",0
178,"localFileProtection(victimHost,victimAccount,exec,'/home/victimAccount/.bash_login')","OR",0
179,"RULE 56 (BB - owner file access)","AND",0
180,"ownerAccessible(victimHost,exec,'/home/victimAccount/.bash_login')","OR",0
181,"RULE 65 (BB - owner file access)","AND",0
182,"fileAttr(victimHost,'/home/victimAccount/.bash_login',-,r,w,x,r,w,x,-,-,-)","LEAF",1
183,"fileOwner(victimHost,victimAccount,'/home/victimAccount/.bash_login')","LEAF",1
184,"RULE 57 (BB - group file access)","AND",0
185,"groupAccessible(victimHost,exec,'/home/victimAccount/.bash_login')","LEAF",1
186,"fileGroupOwner(victimHost,'/home/victimAccount/.bash_login',victimGroup)","LEAF",1
187,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
188,"RULE 39 (BB - User is able to use a reverse shell)","AND",0
189,"canAccessFile(victimHost,victimAccount,exec,'/private')","OR",0
190,"RULE 55 (BB - A legitimate account can access file)","AND",0
191,"localFileProtection(victimHost,victimAccount,exec,'/private')","OR",0
192,"RULE 56 (BB - owner file access)","AND",0
193,"ownerAccessible(victimHost,exec,'/private')","OR",0
194,"RULE 65 (BB - owner file access)","AND",0
195,"fileOwner(victimHost,victimAccount,'/private')","LEAF",1
196,"RULE 57 (BB - group file access)","AND",0
197,"groupAccessible(victimHost,exec,'/private')","LEAF",1
198,"fileGroupOwner(victimHost,'/private',victimGroup)","LEAF",1
